epoch,train_loss,valid_loss,accuracy,f1_score,time
0,2.7167930603027344,2.3416383266448975,0.34045225381851196,0.34045226130653267,02:51
1,2.3993098735809326,2.068387031555176,0.40879395604133606,0.4087939698492462,02:50
2,2.2978403568267822,2.131866693496704,0.39673367142677307,0.3967336683417086,02:49
3,2.258042335510254,2.0298893451690674,0.42135679721832275,0.42135678391959797,02:51
4,2.188441753387451,2.215195894241333,0.4258793890476227,0.4258793969849246,02:55
5,2.1416757106781006,1.939170479774475,0.4595477283000946,0.4595477386934673,02:49
6,2.1201095581054688,1.9113612174987793,0.4515075385570526,0.4515075376884422,02:48
7,2.090925693511963,2.0435791015625,0.4402010142803192,0.4402010050251256,02:50
8,2.0797648429870605,1.8856114149093628,0.4753768742084503,0.47537688442211057,02:50
9,2.04830002784729,1.8927874565124512,0.4683417081832886,0.46834170854271356,02:50
10,2.0293216705322266,1.902525782585144,0.4648241102695465,0.4648241206030151,02:49
11,2.001629590988159,1.8595973253250122,0.48567840456962585,0.485678391959799,02:47
12,1.9914491176605225,1.8207223415374756,0.4934673309326172,0.4934673366834171,02:48
13,1.9864387512207031,1.897621989250183,0.4683417081832886,0.46834170854271356,02:47
14,1.969472885131836,1.8145179748535156,0.4952261447906494,0.4952261306532663,02:49
15,1.9514931440353394,1.7851415872573853,0.504020094871521,0.5040201005025126,02:48
16,1.9429097175598145,1.7998002767562866,0.495979905128479,0.49597989949748744,02:50
17,1.9434434175491333,1.7943775653839111,0.5030151009559631,0.5030150753768844,02:49
18,1.9183968305587769,1.767376184463501,0.512060284614563,0.5120603015075377,02:49
19,1.9065693616867065,1.8158142566680908,0.4922110438346863,0.4922110552763819,02:48
20,1.9010387659072876,1.7643303871154785,0.5208542943000793,0.520854271356784,02:48
21,1.90623939037323,1.7917288541793823,0.504020094871521,0.5040201005025126,02:49
22,1.8619040250778198,1.7663285732269287,0.5108039975166321,0.5108040201005025,02:49
23,1.8559296131134033,1.7341645956039429,0.5306532382965088,0.5306532663316583,02:50
24,1.8386057615280151,1.7487397193908691,0.5309045314788818,0.5309045226130653,02:49
25,1.816178560256958,1.76168954372406,0.5168341994285583,0.5168341708542713,02:49
26,1.7980276346206665,1.7356985807418823,0.5288944840431213,0.5288944723618091,02:49
27,1.8044980764389038,1.776800513267517,0.5183417201042175,0.5183417085427136,02:49
28,1.800933599472046,1.7943003177642822,0.5087939500808716,0.5087939698492462,02:50
29,1.7553211450576782,1.7763632535934448,0.5193467140197754,0.5193467336683417,02:50
30,1.754351258277893,1.7862920761108398,0.5261306762695312,0.5261306532663317,02:51
31,1.7262992858886719,1.7799146175384521,0.5256281495094299,0.5256281407035176,02:50
32,1.7016831636428833,1.7427270412445068,0.5422110557556152,0.5422110552763819,02:48
33,1.6758029460906982,1.7786805629730225,0.5376884341239929,0.5376884422110553,02:49
34,1.6412485837936401,1.7701996564865112,0.5484924912452698,0.5484924623115578,02:50
35,1.5806878805160522,1.76423180103302,0.5532663464546204,0.5532663316582914,02:50
36,1.5465247631072998,1.7546038627624512,0.5479899644851685,0.5479899497487437,02:50
37,1.5260592699050903,1.759898066520691,0.5497487187385559,0.549748743718593,02:50
38,1.506706953048706,1.765478253364563,0.5542713403701782,0.5542713567839196,02:50
39,1.4838144779205322,1.7601832151412964,0.55402010679245,0.5540201005025126,02:50
